barcode_hashed,age_days,full_cap_min,pct_lvl_max,min_dchrg_fcc,dchrg_diff,EBL,total_chrg_cnt,cnt_USB_chrg,shtdn_total,btlow_total,call_drop_sum,call_tot_mins,calls_tot,msgs_tot,pics_tot,sst_poor_time_ratio,ratio_3G,ratio_4G,ratio_5G,wifi_hrs,wifi_connections,mobile_rx_MB,mobile_tx_MB,son_hrs,primary_mem_free_MB,bt_conns,CRASH_total,full_cap_min_ratio,pct_lvl_max_ratio,min_dchrg_fcc_ratio,dchrg_diff_ratio,EBL_ratio,total_chrg_cnt_ratio,cnt_USB_chrg_ratio,shtdn_total_ratio,btlow_total_ratio,call_drop_sum_ratio,call_tot_mins_ratio,calls_tot_ratio,msgs_tot_ratio,pics_tot_ratio,sst_poor_time_ratio_ratio,ratio_3G_ratio,ratio_4G_ratio,ratio_5G_ratio,wifi_hrs_ratio,wifi_connections_ratio,mobile_rx_MB_ratio,mobile_tx_MB_ratio,son_hrs_ratio,primary_mem_free_MB_ratio,bt_conns_ratio,CRASH_total_ratio
06552be09d2d445d9e7295b50459037cbcedb0e253b29f9ec9f9f62a8f285169,381,4512.0,93.5,4700.0,41.75,37.5,2.75,0.0,0.0,1.0,0.0,0.5,16.0,34.5,34.75,0.4175,0.7875,99.16999999999999,0.0,29.75,9.0,205.5,10.25,4.5,75339.25,0.0,4.0,1.017,0.9788,1.0,0.7957,1.1739,0.8333,0.0,0.0,1.0,0.0,1.0,1.0645,0.5506,2.0217,1.141,0.9688,1.0011,0.0,0.8889,0.5,1.8842,1.4118,0.8,1.0449,0.0,0.7778
2b88870b73f5276fe4b6669dbd7a881fcb5d0fb67a02ed79a6f208755c7be1ec,332,-1.0,95.25,-1.0,115.75,18.25,2.75,0.0,0.25,1.5,0.0,0.0,,,,0.0375,0.4449999999999999,99.5475,0.0,2.0,0.0,194.75,13.5,7.0,82134.75,0.0,2.0,1.0,1.0159,1.0,1.3866,0.7805,1.2,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.6667,0.6636,1.0019,0.0,1.0,0.0,1.6318,0.7419,1.1538,0.8979,0.0,1.0
6064ac01b3cc20d3ad99cb3a6b40f86b685fbd9491d769a164fca3cbdbf8e339,1869,-1.0,72.75,3000.0,17.0,91.25,3.5,0.75,0.0,2.25,0.0,0.0,1.0,8.0,2.0,55.0925,0.0,0.0,0.0,15.5,3.5,0.0,0.0,0.0,11093.75,0.0,0.0,1.0,0.902,1.0,1.125,1.1598,1.0,0.5,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0.7479,0.0,0.0,0.0,0.7714,0.75,0.0,0.0,0.0,0.9189,0.0,0.0
7d9e92f8ce4c7cc50e92317eb6675e3f79746b35513b50f7a8787d7556982fb8,894,-1.0,89.0,-1.0,46.0,43.75,2.0,0.0,0.0,1.0,0.0,0.0,,,,4.1525,98.53,0.0,0.0,2.0,0.0,0.0,0.0,4.0,79860.75,0.0,1.25,1.0,0.9778,1.0,0.9574,1.0115,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.5167,1.0106,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0308,0.0,0.6667
1ede0d84dab5072c57f9c93162840f479686b72961fad4825d5518bcc698f4a0,1977,-1.0,88.75,3000.0,174.5,8.75,12.0,3.0,1.25,7.75,0.0,1.0,4.5,107.0,17.75,16.015,0.3125,99.6875,0.0,11.5,12.25,594.0,46.5,5.75,116.0,3.5,0.0,1.0,1.1006,1.0,1.059,0.8421,0.5484,0.0909,0.6667,0.55,0.0,3.0,0.8,0.609,0.6905,0.9377,0.6026,1.0016,0.0,1.1905,1.2273,0.7522,1.0217,1.0909,0.381,0.5556,0.0
451cc259ad60c3a71842fa0033a486af208f1f0292771ba522228048590e3724,136,-1.0,95.5,-1.0,43.0,31.75,3.25,0.0,0.5,1.25,0.0,0.0,,,,0.42,0.0175,99.5625,0.0,2.0,0.0,0.0,0.0,5.5,85063.25,0.0,1.5,1.0,1.0212,1.0,0.8298,1.2679,0.8571,0.0,1.0,0.6667,0.0,0.0,0.0,0.0,0.0,8.8824,2.5,0.9914,0.0,1.0,0.0,0.0,0.0,1.0,1.0509,0.0,1.0
0d03e2df0e08131caa7e4d5ab2575bd9550d12e4130846d58b50a6b82a77c80a,1701,-1.0,72.5,3000.0,16.5,109.25,1.0,0.0,1.0,0.0,0.0,0.5,1.0,83.75,7.25,10.7575,0.6575,99.135,0.0,2.0,0.0,66.25,4.0,1.25,6059.25,0.0,0.0,1.0,1.0139,1.0,1.2,0.6245,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0303,0.6111,1.0648,0.777,0.9978,0.0,1.0,0.0,0.5774,0.7778,1.5,1.0296,0.0,0.0
a8fff9756a6fa0f39d86e0541fa07200c4aca1aa61dc47b8521c4dc6366690e1,664,-1.0,92.0,-1.0,61.0,24.0,9.0,1.0,0.0,2.0,0.0,0.0,,,,0.39,6.7,93.21,0.0,2.0,0.0,0.0,0.0,5.0,3135.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
39f4246a4a7fcf5668e89ed043c0fd4d66229cbac7ab1448382d6bc6367eaa45,969,-1.0,96.75,-1.0,65.5,32.25,3.0,1.5,0.25,0.75,0.0,0.0,,,,10.0525,5.475,93.305,0.0,2.0,0.0,0.0,0.0,6.25,7649.5,0.0,2.0,1.0,1.0368,1.0,0.8986,1.0806,0.3333,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.4414,4.4074,0.9174,0.0,1.0,0.0,0.0,0.0,0.9231,1.3714,0.0,1.0
d238e199e2e3f6e98fd4e21a71f451c6b70181b0e541864f5d2fb6371b23bd01,561,-1.0,93.0,4000.0,74.0,22.0,16.0,0.0,0.0,6.0,0.0,0.0,,,,24.3,0.0,0.0,0.0,2.0,0.0,0.0,0.0,11.0,6168.0,0.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
