full_cap_min,btlow_total,dchrg_diff,total_chrg_cnt,son_hrs,msgs_tot,wifi_hrs,mobile_rx_MB,age_days,drain_rate,shtdn_total,CRASH_total,wifi_mobile_ratio
-0.30065099201743756,-0.027569591621333177,-0.1910016763915558,-0.31493428851901184,0.20190632679822534,-0.5045994550839847,-0.5605920492941002,-0.40513733661722723,-0.7450013376661004,-0.22777117029914756,-0.8349224665165899,-0.08875636957358139,-0.17084748108441983
-0.30065099201743756,0.24241315528460913,1.6617782409375168,-0.2958798931401591,-0.16021641524277702,-0.2756987246478942,0.021816149786391126,-0.18923247413380415,1.9458722726328936,0.22147473910029225,0.2931141987382185,-0.15194942172253303,-0.1201106257907844
-0.29798133182321696,-0.01952755235179447,1.648591195262577,0.5996766896659174,0.29243701230847596,-0.5045994550839847,-0.5605920492941002,-0.40513733661722723,0.23314944013324881,0.06685176219695328,0.6691264204898213,-0.039606217902174556,-0.17084748108441983
-0.30065099201743756,-0.02871845437412442,-0.00638303694239552,-0.181553520867043,0.020844955777724168,-0.5045994550839847,-0.5605920492941002,-0.40513733661722723,-0.6836271712159452,-0.16514540354898852,0.6691264204898213,-0.08173491933480899,-0.17084748108441983
-0.2979206371394664,-0.027282375933135365,0.7716526578790656,0.40913273587739046,-0.7034005283042806,-0.5045994550839847,-0.5605920492941002,-0.40513733661722723,1.4740583680473252,0.2843101767863358,-0.8349224665165899,-0.116842170528671,-0.17084748108441983
-0.2962449656280109,-0.02871845437412442,-1.5624544265853177,-0.46736945154983334,-1.7897687544272878,-0.4899887701625322,0.08953803340040174,-0.380624120789415,-0.9751544618541826,0.41641936301492405,-0.08289802301338427,-0.1308850710062158,0.31983836528479653
-0.30065099201743756,-0.02871845437412442,0.5870340184299053,0.1042624098157474,0.8356211253699796,-0.5045994550839847,-0.5605920492941002,-0.40513733661722723,-0.14468527207551946,-0.1914909603373804,0.6691264204898213,-0.05364911837971937,-0.17084748108441983
-0.2966061895854067,-0.02785680730953099,1.015613002865456,-0.1434447301093376,0.5640290688392278,0.17479739376356068,0.6042243488668825,2.021671030336183,-0.8639137851632763,-0.09163557314153445,-0.8349224665165899,0.02358683424677708,-0.16252777156805864
-0.2961115732073801,-0.02871845437412442,-0.9426632798631369,-0.3339886838978645,-0.61286984279403,-0.22699644157638554,0.6990349859264973,-0.23071637784240945,-0.06988550671439274,-0.2559974903754092,-0.8349224665165899,-0.0957778198123538,-0.0464709335394814
-0.30065099201743756,-0.028431238685926608,-1.2459653303867573,-0.3720974746555699,-0.7939312138145311,0.074957713466968,5.344756201847626,-0.40513733661722723,1.4874839669582967,-0.3125379478001526,-0.45891024476498704,4.615615290403929,-0.17084748108441983
-0.30065099201743756,-0.028144022997728797,0.19142264818170476,-0.31493428851901184,-0.9749925848350324,0.34769049866741636,1.6877744866910522,-0.25617240966359905,2.007246439083049,0.2900456863283112,-0.8349224665165899,-0.15194942172253303,0.08004116821195618
-0.2967330142977212,-0.027569591621333177,-0.17122110787914577,0.028044828300336635,0.6545597543494783,3.0409267525218437,0.2927036842424336,0.6281889921243957,-1.0326927429012032,-0.27680146075262946,-0.8349224665165899,-0.116842170528671,-0.15608917046793172
-0.29734902004324887,-0.028431238685926608,0.37604128763086503,-0.06722714859392682,0.6545597543494783,0.14314090976708008,0.6854906092036952,-0.037439099200043846,-0.5167661561795857,-0.19841272999962273,0.6691264204898213,-0.12386362076744341,-0.11243249937379883
-0.2961645678193115,-0.02871845437412442,-1.147062487824707,-0.3339886838978645,-1.065523270345283,-0.5045994550839847,0.7667568695405079,-0.40513733661722723,-1.2781894087018242,-0.20277324129759827,-0.45891024476498704,-0.116842170528671,-0.17084748108441983
-0.2973216168464809,-0.02871845437412442,-0.2701239504411959,-0.44831505617098066,0.3829676978187265,0.016514973781157634,0.6042243488668825,0.08984105990590424,-0.867749670566411,-0.2636387576473433,-0.8349224665165899,-0.116842170528671,-0.13005713385563192
-0.30065099201743756,-0.02871845437412442,0.006804008732544498,-0.3530430792767172,-0.61286984279403,-0.5045994550839847,-0.5605920492941002,-0.40513733661722723,0.4191898821852819,0.012224190755360824,2.1731753074962326,-0.06769201885726417,-0.17084748108441983
2.450540280296173,-0.02958010143871785,-0.8701345286509667,-0.27682549776130644,-1.6992380689170372,0.4889271195747914,-0.11362761744163011,-0.29859912936558175,2.047523235815963,1.198732599646337,0.6691264204898213,-0.15194942172253303,-0.0881876972301871
-0.30065099201743756,-0.028144022997728797,-1.4965191982106176,-0.1243903347304849,-1.2465846413657842,-0.5045994550839847,-0.5605920492941002,-0.40513733661722723,-1.0844771958435218,-0.30850409950067065,0.2931141987382185,0.5150883509608454,-0.17084748108441983
-0.30065099201743756,-0.028431238685926608,0.47494413019291515,-0.04817275321507413,0.47349838332897715,-0.4071948889409675,1.8503070073646777,-0.40513733661722723,1.4587148264347864,-0.15863166546998445,-0.08289802301338427,-0.08173491933480899,-0.17084748108441983
-0.30065099201743756,-0.028431238685926608,1.107922322590036,-0.31493428851901184,0.47349838332897715,0.16018670884210812,0.19789304718281875,0.8327800626872901,0.7394863133470296,-0.06109650869515891,-0.8349224665165899,-0.116842170528671,-0.15974285089784634
-0.30065099201743756,-0.029867317126915663,-0.8833215743259067,-0.3911518700344226,-1.1560539558555336,-0.5045994550839847,-0.5605920492941002,-0.40513733661722723,-0.8639137851632763,-0.037003002706139584,0.6691264204898213,-0.12386362076744341,-0.17084748108441983
-0.29531144515629576,-0.02785680730953099,0.2112032166941148,-0.25777110238245377,0.8356211253699796,0.8712400416861342,0.41460307474765273,-0.3749672248291506,0.3194568617037796,-0.24178252554939977,-0.08289802301338427,-0.08875636957358139,0.3986985905941349
4.186130127084745,-0.02900567006232223,-1.3448681729488074,-0.44831505617098066,-1.2465846413657842,-0.0784544782082842,-0.4386926587888811,0.4707387212303711,0.26000063795519174,-0.22513790131137726,1.7971630857446297,-0.12386362076744341,-0.16667857550055096
-0.30065099201743756,-0.028144022997728797,2.195853590772588,0.7711662480755918,0.020844955777724168,0.2356752476029465,0.1843486704600166,-0.10626466671659356,1.6485911538899543,0.25348095858969,0.6691264204898213,-0.15194942172253303,-0.1255712633989322
-0.29798133182321696,-0.02871845437412442,-1.2393718075492872,-0.44831505617098066,-1.8802994399375383,-0.5045994550839847,-0.5605920492941002,-0.40513733661722723,0.1065652218298036,6.049074666761095,-0.8349224665165899,-0.116842170528671,-0.17084748108441983
-0.30065099201743756,-0.02584629749214631,0.46175708451797515,1.3999612955777305,1.2882745529212325,-0.5045994550839847,-0.5605920492941002,-0.40513733661722723,-1.3184662054347387,-0.25261946308244865,-0.8349224665165899,-0.116842170528671,-0.17084748108441983
-0.30065099201743756,-0.024410219051157256,2.7101483720952486,0.1423712005734528,4.185256489249252,-0.5045994550839847,-0.5605920492941002,-0.40513733661722723,-0.04495225159401717,-0.24498187443216768,-0.8349224665165899,0.0657155356794115,-0.17084748108441983
-0.29623386846568334,-0.0255590818039485,1.3189150533890763,0.18047999133115816,2.646234835574991,4.131857893323637,0.6042243488668825,1.0477421091773358,0.21780589852071,-0.2637141855666714,-0.45891024476498704,-0.05364911837971937,-0.15695070477350895
